550 , 349
551 , 350
551 , 350
551 , 350
552 , 350
553 , 349
558 , 348
563 , 344
563 , 335
561 , 323
559 , 312
557 , 302
555 , 294
553 , 290
551 , 287
548 , 285
545 , 282
543 , 280
541 , 279
538 , 278
535 , 277
530 , 275
527 , 272
524 , 270
521 , 268
518 , 267
516 , 266
514 , 265
512 , 263
511 , 262
508 , 262
502 , 263
494 , 265
490 , 267
485 , 268
481 , 268
476 , 268
470 , 268
464 , 268
454 , 267
453 , 267
451 , 267
449 , 267
447 , 267
445 , 268
442 , 268
438 , 270
434 , 274
429 , 278
424 , 283
419 , 287
412 , 292
406 , 297
402 , 306
397 , 314
393 , 321
389 , 327
387 , 333
386 , 338
386 , 344
386 , 351
385 , 358
385 , 365
387 , 370
389 , 376
393 , 382
397 , 388
400 , 394
403 , 399
406 , 404
411 , 407
416 , 411
423 , 413
428 , 413
434 , 415
440 , 420
447 , 425
453 , 430
459 , 435
465 , 439
472 , 443
480 , 449
485 , 454
490 , 459
495 , 462
500 , 464
504 , 466
507 , 467
509 , 469
511 , 471
512 , 474
513 , 476
517 , 479
521 , 483
527 , 485
534 , 488
540 , 491
545 , 493
550 , 497
554 , 502
560 , 510
567 , 517
572 , 521
576 , 524
578 , 527
583 , 530
586 , 533
589 , 536
591 , 539
594 , 542
596 , 545
600 , 548
602 , 552
605 , 554
606 , 555
607 , 560
607 , 565
607 , 568
608 , 571
611 , 576
611 , 578
612 , 580
612 , 582
610 , 584
607 , 585
604 , 586
602 , 587
599 , 588
596 , 588
594 , 588
590 , 589
586 , 590
580 , 593
575 , 594
571 , 595
566 , 595
563 , 595
560 , 595
557 , 597
552 , 597
547 , 598
543 , 599
540 , 600
538 , 603
534 , 604
528 , 604
523 , 604
519 , 604
515 , 605
511 , 606
506 , 605
500 , 604
495 , 603
488 , 598
482 , 593
476 , 587
472 , 582
466 , 580
459 , 577
452 , 574
443 , 568
435 , 561
429 , 556
423 , 551
419 , 545
415 , 539
410 , 533
404 , 526
398 , 517
393 , 509
391 , 501
389 , 493
388 , 487
387 , 485
387 , 484
387 , 484
388 , 485
389 , 487
389 , 489
390 , 490
392 , 491
393 , 492
394 , 493
394 , 494
